,Unnamed: 0,Unnamed: 0.1,Datetime,Tweet Id,Text,Username,User Location,Reply Count,Retweet Count,Like Count,Quote Count,Clean Tweet
827,373,373,2021-03-19 16:57:33+00:00,1372955411352010752,"Jackson Mayor Demands Help After Month-Long Water Crisis Amid Pandemic, Racism, Broken Infrastructure https://t.co/qOCdYFLXc7 via @democracynow",taichinow,"Boulder, Colorado",0,0,0,0,jackson mayor demands help after month long water crisis amid pandemic racism broken infrastructure via democracynow
828,374,374,2021-03-19 16:38:36+00:00,1372950642973581314,"Jackson Mayor Demands Help After Month-Long Water Crisis Amid Pandemic, Racism, Broken Infrastructure https://t.co/JKWZku5dyC via @democracynow",jimmyhawk9,Seattle,0,0,1,0,jackson mayor demands help after month long water crisis amid pandemic racism broken infrastructure via democracynow
833,379,379,2021-03-19 12:51:36+00:00,1372893516637089796,"Jackson Mayor Demands Help After Month-Long Water Crisis Amid Pandemic, Racism, Broken Infrastructure https://t.co/8HGZ7FLHHJ via @democracynow",TIENDAMERICAN,USA,0,0,0,0,jackson mayor demands help after month long water crisis amid pandemic racism broken infrastructure via democracynow
839,385,385,2021-03-19 01:58:06+00:00,1372729061483499521,"Jackson Mayor Demands Help After Month-Long Water Crisis Amid Pandemic, Racism, Broken Infrastructure https://t.co/eDDJKsqfM6 via @democracynow",mouhab,"Tucson, AZ",0,0,0,0,jackson mayor demands help after month long water crisis amid pandemic racism broken infrastructure via democracynow
841,387,387,2021-03-19 01:19:46+00:00,1372719412466249736,"Jackson Mayor Demands Help After Month-Long Water Crisis Amid Pandemic, Racism, Broken Infrastructure https://t.co/hZwQu9Hcan via @democracynow",brooklynnygirl,Los Angeles,0,1,0,0,jackson mayor demands help after month long water crisis amid pandemic racism broken infrastructure via democracynow
846,392,392,2021-03-18 20:27:59+00:00,1372645981133680647,"Jackson Mayor Demands Help After Month-Long Water Crisis Amid Pandemic, Racism, Broken Infrastructure https://t.co/vo1Xiss3tA via @democracynow",hemelricardo,Chicago,0,0,0,0,jackson mayor demands help after month long water crisis amid pandemic racism broken infrastructure via democracynow
847,393,393,2021-03-18 19:14:06+00:00,1372627391340806154,"Jackson Mayor Demands Help After Month of Water Crisis Amid Pandemic, Ra... https://t.co/pTEhqc006C via @YouTube",GaryStuard,"Winooski, Vermont",0,0,0,0,jackson mayor demands help after month of water crisis amid pandemic ra via youtube
849,395,395,2021-03-18 18:26:40+00:00,1372615451205902339,"Jackson Mayor Demands Help After Month-Long Water Crisis Amid Pandemic, Racism, Broken Infrastructure https://t.co/7Lb2GrJMwF via @democracynow",NancyParris1,,0,0,0,0,jackson mayor demands help after month long water crisis amid pandemic racism broken infrastructure via democracynow
862,408,408,2021-03-18 12:13:17+00:00,1372521489535221761,"Jackson mayor demands help After month-long water crisis amid pandemic, racism, broken infrastructure - https://t.co/v0vWZV4F1I",cshislop,Coventry UK,0,0,0,0,jackson mayor demands help after month long water crisis amid pandemic racism broken infrastructure 
863,409,409,2021-03-18 10:00:03+00:00,1372487957723103244,"The proposal comes as state lawmakers weigh options for addressing the Jackson water crisis before the end of the 2021 legislation session.

https://t.co/IkrNdiFDR6",MSTODAYnews,Mississippi,3,2,6,1,the proposal comes as state lawmakers weigh options for addressing the jackson water crisis before the end of the  legislation session 
866,412,412,2021-03-18 03:30:36+00:00,1372389947924123650,"Jackson Mayor Demands Help After Month-Long Water Crisis Amid Pandemic, Racism, Broken Infrastructure https://t.co/UYlKhS0ODD via @democracynow",muserebel,"🎬IF u RE , can d anything☄️💨💫",0,1,0,0,jackson mayor demands help after month long water crisis amid pandemic racism broken infrastructure via democracynow
869,415,415,2021-03-18 02:44:28+00:00,1372378339546173447,Join me in supporting Donate to help provide relief to Mississippi communities in the wake of the Jackson water crisis via @actblue https://t.co/y8gEpKy8UW,douglassmyth701,,0,0,0,0,join me in supporting donate to help provide relief to mississippi communities in the wake of the jackson water crisis via actblue 
872,418,418,2021-03-18 02:17:27+00:00,1372371542458392576,Join me in supporting Donate to help provide relief to Mississippi communities in the wake of the Jackson water crisis via @actblue https://t.co/tLpVsNBbP0,catwomanlsk,"Michigan, USA",0,0,0,0,join me in supporting donate to help provide relief to mississippi communities in the wake of the jackson water crisis via actblue 
873,419,419,2021-03-18 02:03:22+00:00,1372367994970574853,Join me in supporting Donate to help provide relief to Mississippi communities in the wake of the Jackson water crisis via @actblue https://t.co/1wcPDzyynQ,smm2250,,0,0,0,0,join me in supporting donate to help provide relief to mississippi communities in the wake of the jackson water crisis via actblue 
874,420,420,2021-03-18 01:11:15+00:00,1372354881185443843,"Jackson Mayor Demands Help After Month-Long Water Crisis Amid Pandemic, Racism, Broken Infrastructure https://t.co/hZwQu9Hcan via @democracynow",brooklynnygirl,Los Angeles,0,0,1,0,jackson mayor demands help after month long water crisis amid pandemic racism broken infrastructure via democracynow
875,421,421,2021-03-18 00:53:10+00:00,1372350331175190529,Join me in supporting Donate to help provide relief to Mississippi communities in the wake of the Jackson water crisis via @actblue https://t.co/4aSc7e9oV1,HeatherjoyK,"Plantation, FL",0,0,0,0,join me in supporting donate to help provide relief to mississippi communities in the wake of the jackson water crisis via actblue 
877,423,423,2021-03-18 00:14:55+00:00,1372340704341528576,Join me in supporting Donate to help provide relief to Mississippi communities in the wake of the Jackson water crisis via @actblue https://t.co/bnAM3wEDdJ,izabella09,U.S.A.,0,0,0,0,join me in supporting donate to help provide relief to mississippi communities in the wake of the jackson water crisis via actblue 
878,424,424,2021-03-18 00:12:41+00:00,1372340141688250368,"Jackson Mayor Demands Help After Month-Long Water Crisis Amid Pandemic, Racism, Broken Infrastructure https://t.co/2Tm1XK5Tta via @democracynow",oszczudlak,,0,1,0,0,jackson mayor demands help after month long water crisis amid pandemic racism broken infrastructure via democracynow
880,426,426,2021-03-17 23:49:35+00:00,1372334331213926401,Join me in supporting Donate to help provide relief to Mississippi communities in the wake of the Jackson water crisis via @actblue https://t.co/4CwViwLrm2,rayhogler,"Fort Collins, CO",0,0,0,0,join me in supporting donate to help provide relief to mississippi communities in the wake of the jackson water crisis via actblue 
883,429,429,2021-03-17 23:20:19+00:00,1372326965382897671,Join me in supporting Donate to help provide relief to Mississippi communities in the wake of the Jackson water crisis via @actblue https://t.co/mB6yHqzYOK,PawsiesAVL,"Asheville, NC",0,0,0,0,join me in supporting donate to help provide relief to mississippi communities in the wake of the jackson water crisis via actblue 
885,431,431,2021-03-17 22:50:15+00:00,1372319398355218442,Join me in supporting Donate to help provide relief to Mississippi communities in the wake of the Jackson water crisis via @actblue https://t.co/yTaCZrDEPb,ramsey_learna,,0,0,0,0,join me in supporting donate to help provide relief to mississippi communities in the wake of the jackson water crisis via actblue 
886,432,432,2021-03-17 22:42:17+00:00,1372317393943457796,Join me in supporting Donate to help provide relief to Mississippi communities in the wake of the Jackson water crisis via @actblue https://t.co/whlFFrGaxi,Ligtstar,"TN, USA",0,1,1,0,join me in supporting donate to help provide relief to mississippi communities in the wake of the jackson water crisis via actblue 
887,433,433,2021-03-17 22:39:12+00:00,1372316618617856000,Join me in supporting Donate to help provide relief to Mississippi communities in the wake of the Jackson water crisis via @actblue https://t.co/Hmp090wbqB,mcvolt1,"Sacramento, CA",0,0,0,0,join me in supporting donate to help provide relief to mississippi communities in the wake of the jackson water crisis via actblue 
