,url,source,authors,title,pubDate,country,language,description,imageUrl,content
68,https://www.theguardian.com/us-news/2021/apr/20/us-women-clean-water-sanitation-fight,theguardian.com,['Guardian staff reporter'],‘Water warriors’: the US women banding together to fight for water justice,2021-04-20T04:00:00+00:00,us,en,‘Water warriors’: the US women banding together to fight for water justice  The Guardian,https://i.guim.co.uk/img/media/40972f821c80c415d0e54cbd96b060dcf63617a2/0_508_6022_3612/master/6022.jpg?width=1200&height=630&quality=85&auto=format&fit=crop&overlay-align=bottom%2Cleft&overlay-width=100p&overlay-base64=L2ltZy9zdGF0aWMvb3ZlcmxheXMvdGctZGVmYXVsdC5wbmc&enable=upscale&s=9645db3ba42dd3fc2d4f4e0c1e11909b,"Deanna Miller Berry first learned of the scores of complaints about Denmark, South Carolina’s water supply, during her 2017 mayoral campaign.

For at least a decade, residents of the rural, predominantly Black and lower-income town “knew something wa ... [+6272 chars]"
69,https://www.nbcchicago.com/news/national-international/crisis-in-texas-power-outages-persist-as-water-food-shortages-mount/2441478/,nbcchicago.com,"['Paul J. Weber,Jill Bleed']","Crisis in Texas: Some Electricity Restored, But Water Woes Persist",2021-02-18T10:53:33+00:00,us,en,"Power was restored to more Texans on Thursday, with fewer than a half-million homes remaining without electricity, and many still were without safe drinking...",https://i1.wp.com/media.nbcchicago.com/2021/02/AP_21049710133320.jpg?resize=1200%2C675&quality=85&strip=all&ssl=1,"Power was restored to more homes and businesses Thursday in states hit by a deadly blast of winter that overwhelmed the electrical grid and left millions shivering in the cold this week. But the crisis was far from over in parts of the south, where m ... [+7378 chars]"
78,https://myrgv.com/wire/state/2021/02/18/texas-outages-below-half-million-but-water-crisis-persists/,myrgv.com,[''],Some power restored in Texas but water woes persist,2021-02-18T22:45:03+00:00,us,en,Some power restored in Texas but water woes persist,https://myrgv.com/wp-content/uploads/2021/02/AP21049606721998.jpg,"By PAUL J. WEBER and JILL BLEED Associated Press

AUSTIN, Texas (AP) — Power was restored to more homes and businesses in Texas on Thursday after a deadly blast of winter this week overwhelmed the electrical grid and left millions shivering in the co ... [+6622 chars]"
79,https://journalgazette.net/news/us/20210220/Winter-storms-bring-water-shortage,journalgazette.net,[],Winter storms bring water shortage | US | Journal Gazette,2021-02-20T00:00:00+00:00,us,en,"AUSTIN, Texas – Southern cities slammed by winter storms that left millions without power for days have traded one crisis for another: Busted wa ...",https://121-jgweb.newscyclecloud.com/storyimage/jg/20210220/ARTICLE/210229988/AR/0/AR-210229988.jpg,"AUSTIN, Texas – Southern cities slammed by winter storms that left millions without power for days have traded one crisis for another: Busted water pipes ruptured by record-low temperatures created shortages of clean drinking water, shut down the Mem ... [+4218 chars]"
80,https://www.news-gazette.com/news/nation-world/the-latest-most-of-a-mississippi-city-is-without-water/article_fe5073d9-f125-56f4-863c-14c36267a04c.html,news-gazette.com,[],The Latest: Most of a Mississippi city is without water,2021-02-18T00:00:00,us,en,The Latest on winter weather across the U.S. (all times local):,https://bloximages.newyork1.vip.townnews.com/news-gazette.com/content/tncms/custom/image/68b05672-ad7b-11e9-afff-4b84aba038ef.jpg,"The Latest on winter weather across the U.S. (all times local):

JACKSON, Miss. — Almost all of Jackson, a city of around 150,000 people, is now without water, Mayor Chokwe Antar Lumumba said.

Lumumba said public works crews are working to pump as m ... [+12650 chars]"
83,https://voanews.com/usa/power-largely-restored-texans-now-face-lack-safe-water,voanews.com,[],"With Power Largely Restored, Texans Now Face Lack of Safe Water",2021-02-15T00:00:00+00:00,us,en,"Millions of Texans have had their power restored days after demand during a severe winter storm overwhelmed the electrical grid, but now they face a new challenge: a lack of safe drinking water.

Late Thursday, The Associated Press reported that 1,000 of the state’s water systems and 177 of the state’s 254 counties reported disruptions caused by the brutal cold. More than 14 million people were affected, according to the Texas Commission on Environmental Quality.

Meanwhile, U.S.",https://im-media.voltron.voanews.com/Drupal/01live-166/2021-02/AP21050661119982.jpg,"Millions of Texans have had their power restored days after demand during a severe winter storm overwhelmed the electrical grid, but now they face a new challenge: a lack of safe drinking water.

Late Thursday, The Associated Press reported that 1,00 ... [+3790 chars]"
89,https://www.news-gazette.com/news/nation-world/lights-come-back-on-in-texas-as-water-woes-rise-in-the-south/article_2cdaa4c7-52a1-5fb3-9f74-e2c48daae4b6.html,news-gazette.com,['PAUL J. WEBER and JILL BLEED Associated Press'],Lights come back on in Texas as water woes rise in the South,2021-02-19T00:00:00,us,en,"AUSTIN, Texas (AP) — Many of the millions of Texans who lost power for days after a deadly winter blast overwhelmed the electric grid now have it back, but the",https://bloximages.newyork1.vip.townnews.com/news-gazette.com/content/tncms/custom/image/68b05672-ad7b-11e9-afff-4b84aba038ef.jpg,"AUSTIN, Texas (AP) — Many of the millions of Texans who lost power for days after a deadly winter blast overwhelmed the electric grid now have it back, but the crisis was far from over in parts of the South, with many people lacking safe drinking wat ... [+5482 chars]"
92,https://www.wglt.org/post/what-we-talk-about-when-we-talk-about-infrastructure,wglt.org,['Avery Kleinman'],What We Talk About When We Talk About Infrastructure,2021-04-13T19:09:23+00:00,us,en,What We Talk About When We Talk About Infrastructure  WGLT News,https://mediad.publicbroadcasting.net/p/shared/npr/styles/medium/nprshared/202104/986886523.jpg,"On his 81st day in office, a bipartisan group of eight lawmakers from both the Senate and the House gathered inside the Oval Office to meet with President Joe Biden. They were there to discuss his massive infrastructure plan.

It will cost 2 trillion ... [+767 chars]"
93,https://www.dailykos.com/story/2021/3/1/2018790/-Overnight-News-Digest-Water-Crisis-in-South-Continues-Edition,dailykos.com,[],Overnight News Digest: Water Crisis in South Continues Edition,2021-03-01T00:00:00+00:00,us,en,"Welcome to the Overnight News Digest with a crew consisting of founder Magnifico, regular editors side pocket, maggiejean, Chitown Kev, eeff, Magnifico, annetteboardman, Besame and jck. Alumni ...",https://images.dailykos.com/images/797652/story_image/unnamed.jpg?1587929719,"Hundreds of thousands of residents in the South are still dealing with the after effects of two devastating winter storms as cities struggle to provide drinking water. Residents in Jackson, Mississippi, are still under a boil water alert, and some re ... [+11781 chars]"
97,https://ktar.com/story/4093989/southern-exposure-cold-wreaks-havoc-on-aging-waterworks/?show=comments#comments,ktar.com,[],Southern exposure: Cold wreaks havoc on aging waterworks,2021-02-25T08:06:59+00:00,us,en,"JACKSON, Miss. (AP) -- The sunshine is back and the ice has melted. But more than a week after a deep freeze across the South, many communities are still",https://ktar.com/wp-content/uploads/2020/01/2019.12-KTAR-Listen-Live-Twitter_Facebook-Image.jpg,"JACKSON, Miss. (AP) — The sunshine is back and the ice has melted. But more than a week after a deep freeze across the South, many communities are still grappling with getting clean water to their citizens.

For years, experts have warned of the need ... [+6148 chars]"
