,url,source,authors,title,pubDate,country,language,description,imageUrl,content
18,https://napavalleyregister.com/news/national/official-less-than-5-000-customers-without-water-in-jackson/article_8e985fbf-3c2a-52c3-9e54-476e71c03f2a.html,napavalleyregister.com,['LEAH WILLINGHAM Associated Press/Report for America'],"Fewer than 5,000 customers without water in Jackson",2021-03-04T23:00:00+00:00,us,en,"JACKSON, Miss. (AP) — Fewer than 5,000 water customers were still without service Friday afternoon in Mississippi’s capital city of Jackson — a development a top official called “positive progress”",https://bloximages.chicago2.vip.townnews.com/napavalleyregister.com/content/tncms/assets/v3/editorial/2/1d/21db08fd-68b2-5146-8bf1-f9637463ea92/60426af461969.image.jpg?crop=1763%2C992%2C0%2C91&resize=1120%2C630&order=crop%2Cresize,"Jackson Mayor Chokwe Antar Lumumba said that the water crisis has been caused in part because of decades of neglect regarding the city's aging infrastructure. Parts of Jackson's water system are a century old, he said.

A major factor impacting the c ... [+1380 chars]"
21,https://www.theroot.com/from-shreveport-to-jackson-water-woes-reveal-infrastru-1846417315#replies,theroot.com,['Terrell Jermaine Starr'],"From Shreveport to Jackson, Water Woes Reveal Infrastructure and Racism Inextricably Linked",2021-03-05T19:28:00+00:00,us,en,"Many residents in Jackson, Miss., are closing out their third week without clean water after record-breaking freezing temperatures froze plant equipment and burst much of the city’s water pipe systems in the state’s largest city.","https://i.kinja-img.com/gawker-media/image/upload/c_fill,f_auto,fl_progressive,g_center,h_675,pg_1,q_80,w_1200/xzf4pieiacpgkg4x8iat.jpg","Many residents in Jackson, Miss., are closing out their third week without clean water after record-breaking freezing temperatures froze plant equipment and burst much of the city’s water pipe systems in the state’s largest city.



Activists on the  ... [+8152 chars]"
22,https://thegrio.com/2021/03/08/volunteers-distribute-water-food-jackson/,thegrio.com,['Blue Telusma'],"Volunteers distribute water, food to Jackson residents as shortage continues",2021-03-08T23:13:44+00:00,us,en,"Sunday morning, Governor Tate Reeves conceded that these current water issues were inevitable and have been in the making for decades.",https://thegrio.com/wp-content/uploads/2021/03/080320211615243469-1-scaled.jpg,"Parts of Jackson, Mississippi – an area in which is 80% of the residents are Black – have gone without running water since mid-February.

According to local reports, while city officials said most of the city has seen its water restored, some areas l ... [+3233 chars]"
23,https://www.clarionledger.com/story/news/2021/04/14/white-house-plan-would-pump-billions-into-ms-roads-bridges-water/7191181002/,clarionledger.com,['Justin Vicory'],Billions slated for Mississippi in White House infrastructure plan,2021-04-14T16:38:42+00:00,us,en,Billions slated for Mississippi in White House infrastructure plan  Jackson Clarion Ledger,"https://www.gannett-cdn.com/presto/2021/03/04/PJAM/9a5b9b6c-e5f4-4b70-820f-71b0b1fe2a73-Goodsam.water07.jpg?crop=2999,1687,x0,y148&width=1600&height=800&fit=bounds","The state of Mississippi would see billions of dollars for a wide range of infrastructure projects under a recently unveiled plan from the White House.

Under President Joe Biden’s American Jobs Plan, the White House is proposing about $2.3 trillion  ... [+2995 chars]"
24,https://www.dailykos.com/stories/2021/3/1/2018767/-Here-s-what-you-need-to-know-about-the-water-crisis-in-Jackson-Mississippi,dailykos.com,[],"Here's what you need to know about the water crisis in Jackson, Mississippi",2021-03-01T00:00:00+00:00,us,en,"Between the ongoing COVID-19 pandemic, the recent storms and subsequent power and heat outages in Texas, and the seemingly endless hate spewing out of members of the GOP, it can be hard to keep track of stories that don’t always get the national media...",https://images.dailykos.com/images/922685/story_image/screenshot-www.youtube.com-2021.03.01-15_52_24.png?1614632060,"As of Sunday, teams started opening fire hydrants in some neighborhoods to move things along. Why? In simple terms, Williams explained, “A lot of times when you lose system pressure, a lot of air gets in the line. So, as we're trying to push more wat ... [+3209 chars]"
28,https://www.news4jax.com/news/politics/2021/03/03/weeks-after-storms-water-crisis-continues-in-mississippi/,news4jax.com,"['Jeff Martin, Leah Willingham And Emily Wagster Pettus', 'Associated Press', 'Jeff Martin, Leah Willingham And Emily Wagster Pettus, Associated Press']","Water crisis continues in Mississippi, weeks after cold snap",2021-03-03T14:18:33+00:00,us,en,"Mississippi's largest city is still struggling with water problems, more than two weeks after winter storms and freezing weather ravaged the system.",https://www.news4jax.com/resizer/Lz8oGoUqmIfVvyI7l1HN-mnNDPk=/1600x1066/smart/filters:format(jpeg):strip_exif(true):strip_icc(true):no_upscale(true):quality(65)/cloudfront-us-east-1.images.arcpublishing.com/gmg/XFKGWTWMFBBXXA4XX633YBDUBA.jpg,"JACKSON, Miss. – Mississippi’s largest city is still struggling with water problems more than two weeks after winter storms and freezing weather ravaged the system in Jackson, knocking out water for drinking and making it impossible for many to even  ... [+4724 chars]"
29,https://www.mysanantonio.com/news/article/Salvation-Army-leader-to-leave-Mississippi-for-16204161.php,mysanantonio.com,[],Salvation Army leader to leave Mississippi for Alabama post,2021-05-26T13:14:51+00:00,us,en,Salvation Army leader to leave Mississippi for Alabama post  mySanAntonio.com,https://www.mysanantonio.com/img/pages/article/opengraph_default.jpg,"JACKSON, Miss. (AP) — The leader of the Salvation Army of Jackson is moving to a new post with the organization in Alabama.

Major Robert Lyle is leaving Mississippi to serve as an area commander for the charity organization’s Birmingham, Alabama bra ... [+323 chars]"
34,https://journalgazette.net/news/us/20210303/weeks-after-storms-water-crisis-continues-in-mississippi,journalgazette.net,[],"Weeks after storms, water crisis continues in Mississippi | US | Journal Gazette",2021-03-03T00:00:00+00:00,us,en,"Frustrations are mounting in Mississippi’s largest city, more than two weeks since winter storms and freezing weather ravaged the city’s water system.",https://121-jgweb.newscyclecloud.com/storyimage/JG/20210303/WEB/303039834/AR/0/AR-303039834.jpg,"JACKSON, Miss. – Frustrations are mounting in Mississippi’s largest city, more than two weeks since winter storms and freezing weather ravaged the city’s water system — knocking out water for drinking and making it impossible for many to even flush t ... [+1548 chars]"
36,https://www.usnews.com/news/best-states/alabama/articles/2021-05-26/salvation-army-leader-to-leave-mississippi-for-alabama-post,usnews.com,['Associated Press'],Salvation Army Leader to Leave Mississippi for Alabama Post,2021-05-26T13:09:00+00:00,us,en,Salvation Army Leader to Leave Mississippi for Alabama Post  U.S. News & World Report,,"JACKSON, Miss. (AP) — The leader of the Salvation Army of Jackson is moving to a new post with the organization in Alabama.

Major Robert Lyle is leaving Mississippi to serve as an area commander for the charity organization’s Birmingham, Alabama bra ... [+458 chars]"
37,https://www.nbcnews.com/nightly-news/video/mississippi-facing-water-crisis-after-winter-storm-101977157603,nbcnews.com,['NBCNews.com'],Mississippi facing water crisis after winter storm,2021-03-03T23:46:53+00:00,us,en,"Nearly 200,000 residents of Jackson, Mississippi have been without drinkable water since mid-February when a sudden freeze hit the city’s aging water pipes.",https://media13.s-nbcnews.com/j/MSNBC/Components/Video/202103/nn_mra_mississippi_water_crisis_210303_1614816996798.nbcnews-fp-1200-630.jpg,House passes George Floyd Justice in Policing Act in aim to establish national standard for police
38,https://www.nbcmiami.com/news/national-international/end-in-sight-for-mississippi-residents-who-have-been-without-water-for-weeks/2398911/?_osource=db_npd_nbc_wtvj_twt_shr,nbcmiami.com,['Leah Willingham'],End in Sight for Mississippi Residents Who Have Been Without Water for Weeks,2021-03-05T12:56:21+00:00,us,en,Crews continued working Friday to restore water to thousands of customers in Mississippi’s capital city,https://i0.wp.com/media.nbcmiami.com/2021/03/Mississippi-Water.png?quality=85&resize=1200%2C675&strip=all&ssl=1,"Crews continued working Friday to restore water to thousands of customers in Mississippi’s capital city of Jackson, where some taps have been completely dry for nearly three weeks.

“A lot of our residents have just had to endure this water outage, a ... [+3253 chars]"
40,https://www.washingtontimes.com/news/2021/mar/20/how-one-jackson-woman-helped-neighbors-amid-a-cris/,washingtontimes.com,"['BRIAN BROOM, The Clarion-Ledger', 'The Washington Times http://www.washingtontimes.com']",How one Jackson woman helped neighbors amid a crisis,2021-03-20T09:38:09+00:00,us,en,"Betty Johnson, the pastor of a Jackson church, knows how important it is to reach out to people in time of need.",,"JACKSON, Miss. (AP) - Betty Johnson, the pastor of a Jackson church, knows how important it is to reach out to people in time of need.

Right now, amid the Jackson water crisis that has left some residents without water for more than two weeks follow ... [+3646 chars]"
41,https://www.msnbc.com/katy-tur/watch/when-will-jackson-ms-residents-get-their-water-back-101792837985,msnbc.com,['MSNBC.com'],"When will Jackson, MS, residents get their water back?",2021-03-01T20:47:58+00:00,us,en,"Some residents of Jackson, Mississippi, have been without water for 14 days. So who is to blame? Mayor of Jackson, Mississippi, Chokwe Antar Lumbumba joins Katy Tur to discuss.",https://media12.s-nbcnews.com/j/MSNBC/Components/Video/202103/1614631611397_n_tur_jackson_210301_1920x1080.nbcnews-fp-1200-630.jpg,Meet the NJ plumbers who went to Texas to help during power crisis
42,https://www.usatoday.com/story/news/nation/2021/03/14/jackson-ms-water-crisis-aging-systems-lead-decades-headaches/4685706001/,usatoday.com,"['Keith Sharon', 'Keisha Rowe']","Crumbling infrastructure leaves water buckets, boil water notices, as a way of life for some in Mississippi's capital",2021-03-14T10:00:58+00:00,us,en,Storms that hit the South in mid-February only served to highlight a problem Jackson residents have faced for decades: a water system on the brink.,"https://www.gannett-cdn.com/presto/2021/03/09/PJAM/bd3b3bf2-5aa8-4b82-9fdc-9e7a8a946235-water.Brooks17.jpg?crop=2999,1687,x0,y125&width=1600&height=800&fit=bounds","Jackson, MISS. -- Less than two miles from the Mississippi's Capitol building, an elderly Black man hoards water.

James Brooks, 78, keeps rows of plastic containers of water at his Jackson home filled with varying shades of gray, yellow and brown wa ... [+10548 chars]"
43,http://news-gazette.com/news/nation-world/southern-cities-hit-hard-by-storms-face-new-crisis-no-water/article_2cdaa4c7-52a1-5fb3-9f74-e2c48daae4b6.html,news-gazette.com,"['ADRIAN SAINZ, PAUL J. WEBER and ACACIA CORONADO Associated Press']",Southern cities hit hard by storms face new crisis: No water,2021-02-19T00:00:00,us,en,"AUSTIN, Texas (AP) — Southern cities slammed by winter storms that left millions without power for days have traded one crisis for another: Busted water pipes ruptured by record-low temperatures",https://bloximages.newyork1.vip.townnews.com/news-gazette.com/content/tncms/custom/image/68b05672-ad7b-11e9-afff-4b84aba038ef.jpg,"AUSTIN, Texas (AP) — Southern cities slammed by winter storms that left millions without power for days have traded one crisis for another: Busted water pipes ruptured by record-low temperatures created shortages of clean drinking water, shut down th ... [+7486 chars]"
44,http://www.spokesman.com/stories/2021/feb/19/cities-slammed-by-winter-storms-face-new-crisis-no/,spokesman.com,['Paul J. Weber and Acacia Coronado'],Cities slammed by winter storms face new crisis: No water,2021-02-19T09:39:00+00:00,us,en,"States slammed by winter storms that left millions without power for days have traded one crisis for another: Broken water pipes brought on by record-low temperatures have created a shortage of clean drinking water, shut down airports on Friday and left hospitals scrambling.",https://thumb.spokesman.com/uX1fVD3A7wIGzTe_B9ZGhCUIxDA=/600x0/media.spokesman.com/graphics/2018/07/sr_placeholder.png,"AUSTIN, Texas ) — Southern cities slammed by winter storms that left millions without power for days have traded one crisis for another: Busted water pipes ruptured by record-low temperatures created shortages of clean drinking water, shut down the M ... [+6779 chars]"
45,https://us.cnn.com/2021/03/02/opinions/texas-winter-storm-jackson-mississippi-water-racism-joseph/index.html,us.cnn.com,['Opinion by Peniel E. Joseph '],Opinion: What's happening in Texas and Mississippi has to stop,2021-03-02T22:54:09+00:00,us,en,Peniel Joseph says the winter storm aftermath in Texas and Mississippi that has disproportionately hit Black and Latinx communities and left many still without access to clean water is one facet of a decades-long national crisis of race and democracy.,https://cdn.cnn.com/cnnnext/dam/assets/210218165824-03-winter-weather-mississippi-0218-super-tease.jpg,"Peniel E. Joseph is the Barbara Jordan chair in ethics and political values and the founding director of the Center for the Study of Race and Democracy at the LBJ School of Public Affairs at the University of Texas at Austin, where he is also a profe ... [+6955 chars]"
46,https://www.dailykos.com/stories/2021/4/1/2023763/-How-Black-Mississippians-found-their-power-during-Jackson-s-water-emergency,dailykos.com,[],How Black Mississippians found their power during Jackson’s water emergency,2021-04-01T00:00:00+00:00,us,en,"After the water stopped flowing, a grassroots effort in Jackson is organizing the Black community for future climate and political crises. By Frances Madeson, for Capital and Main After two weeks of taking sponge baths, Kalif Wilkes lingered in a long,...",https://images.dailykos.com/images/932750/story_image/Jackson_CapitalAndMain2.jpg?1617235430,"With a largely white Republican state leadership withholding resources to the Black and Democrat majority city, Jackson has long struggled with how to pay to repair its dilapidated water infrastructure, which even before the burdens of climate change ... [+9428 chars]"
